# Constructed from biom file
#OTU ID	B1-100-1	B1-100-2	B1-100-24HR-D10	B1-100-24HR-D14	B1-100-24HR-D21	B1-100-24HR-D5	B1-100-3	B1-50-1	B1-50-2	B1-50-24HR-D10	B1-50-24HR-D14	B1-50-24HR-D21	B1-50-24HR-D5	B1-80-1	B1-80-2	B1-80-3	B1-85-1	B1-85-2	B1-85-3	B1-90-1	B1-90-2	B1-90-3	B2-100-1	B2-100-2	B2-100-24HR-D10	B2-100-24HR-D14	B2-100-24HR-D21	B2-100-3	B2-50-1	B2-50-2	B2-50-24HR-D10	B2-50-24HR-D14	B2-50-24HR-D21	B2-50-24HR-D5	B2-50-3	B2-80-1	B2-80-2	B2-80-3	B2-85-1	B2-85-2	B2-85-3	B2-90-1	B2-90-2	B2-90-3	B3-100-1	B3-100-2	B3-100-24HR-D10	B3-100-24HR-D14	B3-100-24HR-D21	B3-100-24HR-D5	B3-100-3	B3-50-1	B3-50-2	B3-50-24HR-D10	B3-50-24HR-D14	B3-50-24HR-D21	B3-50-24HR-D5	B3-50-3	B3-80-1	B3-80-2	B3-80-3	B3-85-1	B3-85-2	B3-85-3	B3-90-1	B3-90-2	B3-90-3	B4-100-1	B4-100-2	B4-100-24HR-D10	B4-100-24HR-D14	B4-100-24HR-D21	B4-100-24HR-D5	B4-100-3	B4-50-1	B4-50-2	B4-50-24HR-D10	B4-50-24HR-D14	B4-50-24HR-D21	B4-50-24HR-D5	B4-50-3	B4-80-1	B4-80-2	B4-80-3	B4-85-1	B4-85-2	B4-85-3	B4-90-1	B4-90-2	B4-90-3
af8ae5fd463659ce4fda671bd7c2b7a5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	86.0	0.0	0.0	0.0	0.0	81.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	79.0	0.0	0.0	0.0	0.0	79.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	97.0	0.0	37.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	72.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.0	0.0	0.0	0.0	0.0	0.0	0.0	47.0	214.0	0.0	270.0	117.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ed33190a87c415c466212c224c19c873	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71.0	38.0	43.0	47.0	33.0	91.0	0.0	0.0	31.0	79.0	78.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	91.0	149.0	0.0	0.0	29.0	0.0	128.0	0.0	84.0	42.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	76.0	42.0	0.0	0.0	0.0	0.0	89.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	26.0	58.0	35.0	47.0	80.0	47.0	43.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
34eb0816014675a1cf2333c3526d1134	0.0	0.0	0.0	0.0	0.0	0.0	0.0	352.0	0.0	0.0	0.0	0.0	34.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.0	0.0	0.0	0.0	116.0	71.0	0.0	84.0	0.0	0.0	0.0	0.0	0.0	80.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	85.0	39.0	0.0	0.0	0.0	143.0	0.0	126.0	118.0	38.0	0.0	0.0	0.0	103.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21456194187cdae5e1993fa288a212ae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	24.0	63.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.0	0.0	59.0	0.0	0.0	139.0	0.0	66.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	85.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	129.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	219.0	0.0	0.0	42.0	0.0	0.0	0.0	101.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9f1377eeed83d0845c5c60b207fdcd2a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.0	59.0	40.0	49.0	44.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	83.0	135.0	0.0	88.0	20.0	29.0	38.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.0	76.0	0.0	0.0	71.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	73.0	37.0	75.0	54.0	38.0	77.0	26.0	53.0	32.0	88.0	0.0	0.0	0.0	0.0	0.0	0.0
deea0f0df4f3436b09b0cdb4f059353f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.0	0.0	68.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.0	0.0	27.0	320.0	24.0	0.0	0.0	0.0	79.0	48.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0	55.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	133.0	155.0	123.0	0.0	0.0	0.0	85.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d82786ea3ce00abc1c54ba4ed7339b62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	37.0	42.0	36.0	0.0	0.0	111.0	86.0	0.0	0.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	202.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	132.0	60.0	54.0	72.0	103.0	0.0	0.0	0.0	102.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	39.0	43.0	39.0	39.0	61.0	49.0	41.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
afaad393f001a58d730224bb4775ff8a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	72.0	0.0	112.0	0.0	130.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.0	0.0	0.0	0.0	84.0	0.0	35.0	0.0	29.0	50.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	69.0	37.0	132.0	35.0	0.0	0.0	0.0	141.0	0.0	0.0	0.0	0.0	0.0	0.0	114.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	45.0	16.0	129.0	0.0	63.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0
78d8d86f984d3b7057df56c249758dfc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.0	0.0	0.0	0.0	0.0	0.0	40.0	98.0	21.0	62.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	84.0	0.0	0.0	0.0	0.0	33.0	149.0	34.0	0.0	44.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	118.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	50.0	38.0	30.0	0.0	0.0	112.0	0.0	119.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
75e3dc65e85581a82fb07df42aca002a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	128.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	73.0	0.0	0.0	53.0	0.0	0.0	108.0	0.0	45.0	0.0	147.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	106.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
